"Year","State","Race","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","Alabama","White","Males","493","1,689,122","29.19","31.63","16,586"
"2020","Alabama","White","Females","281","1,756,367","16.00","17.35","8,788"
"2020","Alabama","Black","Males","185","627,341","29.49","31.08","6,201"
"2020","Alabama","Black","Females","63","722,770","8.72","9.07","2,128"
"2020","Alabama","American Indian / Alaska Native","Males","0","19,189","0","0","0"
"2020","Alabama","American Indian / Alaska Native","Females","0","19,158","0","0","0"
"2020","Alabama","Asian / Pacific Islander","Males","0","41,314","0","0","0"
"2020","Alabama","Asian / Pacific Islander","Females","0","46,271","0","0","0"
"2020","Alaska","White","Males","68","264,538","25.71","24.48","2,182"
"2020","Alaska","White","Females","23","236,066","9.74","9.67","749"
"2020","Alaska","Black","Males","0","19,967","0","0","0"
"2020","Alaska","Black","Females","0","16,111","0","0","0"
"2020","Alaska","American Indian / Alaska Native","Males","22","65,006","33.84","37.03","842"
"2020","Alaska","American Indian / Alaska Native","Females","29","63,344","45.78","54.28","986"
"2020","Alaska","Asian / Pacific Islander","Males","0","32,026","0","0","0"
"2020","Alaska","Asian / Pacific Islander","Females","0","34,100","0","0","0"
"2020","Arizona","White","Males","1,529","3,088,796","49.50","51.49","54,283"
"2020","Arizona","White","Females","604","3,129,133","19.30","20.17","19,246"
"2020","Arizona","Black","Males","156","231,276","67.45","65.22","5,650"
"2020","Arizona","Black","Females","50","219,347","22.80","22.88","1,845"
"2020","Arizona","American Indian / Alaska Native","Males","129","206,918","62.34","61.25","5,267"
"2020","Arizona","American Indian / Alaska Native","Females","54","213,669","25.27","26.59","2,174"
"2020","Arizona","Asian / Pacific Islander","Males","19","158,936","11.95","11.13","817"
"2020","Arizona","Asian / Pacific Islander","Females","0","173,326","0","0","0"
"2020","Arkansas","White","Males","273","1,198,791","22.77","24.64","9,340"
"2020","Arkansas","White","Females","201","1,231,284","16.32","16.55","5,816"
"2020","Arkansas","Black","Males","43","235,415","18.27","19.08","1,637"
"2020","Arkansas","Black","Females","25","259,111","9.65","10.94","862"
"2020","Arkansas","American Indian / Alaska Native","Males","0","17,595","0","0","0"
"2020","Arkansas","American Indian / Alaska Native","Females","0","17,806","0","0","0"
"2020","Arkansas","Asian / Pacific Islander","Males","0","35,055","0","0","0"
"2020","Arkansas","Asian / Pacific Islander","Females","0","35,465","0","0","0"
"2020","California","White","Males","5,375","14,483,848","37.11","35.55","173,859"
"2020","California","White","Females","1,868","14,397,367","12.98","12.61","54,894"
"2020","California","Black","Males","807","1,432,320","56.34","53.96","23,430"
"2020","California","Black","Females","304","1,439,130","21.12","20.40","8,661"
"2020","California","American Indian / Alaska Native","Males","103","401,004","25.69","25.21","3,374"
"2020","California","American Indian / Alaska Native","Females","38","394,857","9.62","9.64","1,175"
"2020","California","Asian / Pacific Islander","Males","314","3,260,317","9.63","9.21","10,559"
"2020","California","Asian / Pacific Islander","Females","99","3,559,235","2.78","2.70","3,281"
"2020","Colorado","White","Males","901","2,584,466","34.86","33.18","30,818"
"2020","Colorado","White","Females","420","2,546,443","16.49","16.33","13,416"
"2020","Colorado","Black","Males","83","167,964","49.42","47.26","2,764"
"2020","Colorado","Black","Females","37","148,464","24.92","25.54","1,319"
"2020","Colorado","American Indian / Alaska Native","Males","13","57,801","22.49","23.05","432"
"2020","Colorado","American Indian / Alaska Native","Females","11","56,732","19.39","21.69","355"
"2020","Colorado","Asian / Pacific Islander","Males","17","115,656","14.70","13.16","740"
"2020","Colorado","Asian / Pacific Islander","Females","10","130,193","7.68","7.71","275"
"2020","Connecticut","White","Males","853","1,399,855","60.94","63.00","27,035"
"2020","Connecticut","White","Females","315","1,462,201","21.54","22.35","9,373"
"2020","Connecticut","Black","Males","148","228,058","64.90","64.35","4,262"
"2020","Connecticut","Black","Females","42","248,629","16.89","16.61","1,369"
"2020","Connecticut","American Indian / Alaska Native","Males","0","13,576","0","0","0"
"2020","Connecticut","American Indian / Alaska Native","Females","0","12,980","0","0","0"
"2020","Connecticut","Asian / Pacific Islander","Males","0","93,431","0","0","0"
"2020","Connecticut","Asian / Pacific Islander","Females","0","98,276","0","0","0"
"2020","Delaware","White","Males","233","335,894","69.37","75.10","7,469"
"2020","Delaware","White","Females","116","355,074","32.67","36.31","3,501"
"2020","Delaware","Black","Males","64","114,838","55.73","59.16","1,892"
"2020","Delaware","Black","Females","29","128,122","22.64","21.69","877"
"2020","Delaware","American Indian / Alaska Native","Males","0","3,844","0","0","0"
"2020","Delaware","American Indian / Alaska Native","Females","0","3,859","0","0","0"
"2020","Delaware","Asian / Pacific Islander","Males","0","22,164","0","0","0"
"2020","Delaware","Asian / Pacific Islander","Females","0","23,014","0","0","0"
"2020","District of Columbia","White","Males","31","167,475","18.51","16.35","1,131"
"2020","District of Columbia","White","Females","13","168,370","7.72","8.51","397"
"2020","District of Columbia","Black","Males","266","152,057","174.93","162.42","5,681"
"2020","District of Columbia","Black","Females","112","183,111","61.17","56.20","2,652"
"2020","District of Columbia","American Indian / Alaska Native","Males","0","2,681","0","0","0"
"2020","District of Columbia","American Indian / Alaska Native","Females","0","2,494","0","0","0"
"2020","District of Columbia","Asian / Pacific Islander","Males","0","15,719","0","0","0"
"2020","District of Columbia","Asian / Pacific Islander","Females","0","20,909","0","0","0"
"2020","Florida","White","Males","4,405","8,350,540","52.75","56.01","144,010"
"2020","Florida","White","Females","1,957","8,665,471","22.58","24.26","60,385"
"2020","Florida","Black","Males","616","1,854,522","33.22","34.17","19,094"
"2020","Florida","Black","Females","183","1,985,663","9.22","9.47","6,220"
"2020","Florida","American Indian / Alaska Native","Males","11","65,652","16.76","17.17","376"
"2020","Florida","American Indian / Alaska Native","Females","0","61,321","0","0","0"
"2020","Florida","Asian / Pacific Islander","Males","42","349,466","12.02","12.01","1,465"
"2020","Florida","Asian / Pacific Islander","Females","13","400,677","3.25","3.23","493"
"2020","Georgia","White","Males","932","3,227,561","28.88","29.94","31,442"
"2020","Georgia","White","Females","502","3,287,002","15.27","15.48","15,157"
"2020","Georgia","Black","Males","304","1,686,060","18.03","18.37","9,427"
"2020","Georgia","Black","Females","159","1,920,197","8.28","8.00","4,989"
"2020","Georgia","American Indian / Alaska Native","Males","0","33,280","0","0","0"
"2020","Georgia","American Indian / Alaska Native","Females","0","31,002","0","0","0"
"2020","Georgia","Asian / Pacific Islander","Males","10","254,648","3.93","3.64","375"
"2020","Georgia","Asian / Pacific Islander","Females","0","270,267","0","0","0"
"2020","Hawaii","White","Males","71","224,418","31.64","30.08","1,773"
"2020","Hawaii","White","Females","37","198,702","18.62","17.05","919"
"2020","Hawaii","Black","Males","0","25,398","0","0","0"
"2020","Hawaii","Black","Females","0","17,842","0","0","0"
"2020","Hawaii","American Indian / Alaska Native","Males","0","3,401","0","0","0"
"2020","Hawaii","American Indian / Alaska Native","Females","0","3,010","0","0","0"
"2020","Hawaii","Asian / Pacific Islander","Males","118","451,149","26.16","24.02","2,680"
"2020","Hawaii","Asian / Pacific Islander","Females","40","483,086","8.28","7.82","974"
"2020","Idaho","White","Males","161","866,338","18.58","19.04","4,907"
"2020","Idaho","White","Females","117","860,857","13.59","13.50","3,093"
"2020","Idaho","Black","Males","0","13,312","0","0","0"
"2020","Idaho","Black","Females","0","10,657","0","0","0"
"2020","Idaho","American Indian / Alaska Native","Males","0","18,722","0","0","0"
"2020","Idaho","American Indian / Alaska Native","Females","0","18,439","0","0","0"
"2020","Idaho","Asian / Pacific Islander","Males","0","17,752","0","0","0"
"2020","Idaho","Asian / Pacific Islander","Females","0","20,836","0","0","0"
"2020","Illinois","White","Males","1,608","4,833,736","33.27","33.98","55,037"
"2020","Illinois","White","Females","679","4,917,551","13.81","14.63","22,175"
"2020","Illinois","Black","Males","935","914,160","102.28","103.72","23,278"
"2020","Illinois","Black","Females","283","1,023,355","27.65","26.96","7,709"
"2020","Illinois","American Indian / Alaska Native","Males","0","46,463","0","0","0"
"2020","Illinois","American Indian / Alaska Native","Females","0","44,559","0","0","0"
"2020","Illinois","Asian / Pacific Islander","Males","29","390,947","7.42","6.74","1,236"
"2020","Illinois","Asian / Pacific Islander","Females","0","416,759","0","0","0"
"2020","Indiana","White","Males","1,350","2,856,048","47.27","50.61","48,152"
"2020","Indiana","White","Females","647","2,925,727","22.11","23.96","21,940"
"2020","Indiana","Black","Males","227","359,308","63.18","69.32","7,193"
"2020","Indiana","Black","Females","80","381,852","20.95","21.86","2,611"
"2020","Indiana","American Indian / Alaska Native","Males","0","17,469","0","0","0"
"2020","Indiana","American Indian / Alaska Native","Females","0","17,356","0","0","0"
"2020","Indiana","Asian / Pacific Islander","Males","0","99,134","0","0","0"
"2020","Indiana","Asian / Pacific Islander","Females","0","98,059","0","0","0"
"2020","Iowa","White","Males","252","1,433,214","17.58","18.54","8,262"
