"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","Alabama","1,029","4,921,532","20.91","22.39","33,961"
"2020","Alaska","160","731,158","21.88","22.03","5,490"
"2020","Arizona","2,550","7,421,401","34.36","35.64","89,597"
"2020","Arkansas","546","3,030,522","18.02","19.10","17,767"
"2020","California","8,908","39,368,078","22.63","21.73","279,233"
"2020","Colorado","1,492","5,807,719","25.69","24.81","50,119"
"2020","Connecticut","1,371","3,557,006","38.54","39.01","42,500"
"2020","Delaware","444","986,809","44.99","47.50","13,799"
"2020","District of Columbia","424","712,816","59.48","57.88","9,919"
"2020","Florida","7,231","21,733,312","33.27","35.02","232,141"
"2020","Georgia","1,916","10,710,017","17.89","18.05","61,682"
"2020","Hawaii","274","1,407,006","19.47","18.22","6,600"
"2020","Idaho","287","1,826,913","15.71","15.98","8,299"
"2020","Illinois","3,549","12,587,530","28.20","28.07","110,020"
"2020","Indiana","2,321","6,754,953","34.36","36.61","80,544"
"2020","Iowa","432","3,163,561","13.66","14.37","13,601"
"2020","Kansas","490","2,913,805","16.82","17.45","16,339"
"2020","Kentucky","2,083","4,477,251","46.52","49.29","68,273"
"2020","Louisiana","1,896","4,645,318","40.82","42.89","61,641"
"2020","Maine","496","1,350,141","36.74","39.74","15,781"
"2020","Maryland","2,771","6,055,802","45.76","44.56","84,502"
"2020","Massachusetts","2,302","6,893,574","33.39","33.76","73,544"
"2020","Michigan","2,759","9,966,555","27.68","28.64","86,723"
"2020","Minnesota","1,050","5,657,342","18.56","18.99","35,680"
"2020","Mississippi","586","2,966,786","19.75","21.21","19,457"
"2020","Missouri","1,875","6,151,548","30.48","31.93","63,752"
"2020","Montana","162","1,080,577","14.99","15.49","4,904"
"2020","Nebraska","214","1,937,552","11.05","11.26","7,029"
"2020","Nevada","832","3,138,259","26.51","25.82","26,402"
"2020","New Hampshire","393","1,366,275","28.76","30.36","12,924"
"2020","New Jersey","2,840","8,882,371","31.97","32.02","89,474"
"2020","New Mexico","784","2,106,319","37.22","39.30","25,636"
"2020","New York","4,965","19,336,776","25.68","25.30","154,189"
"2020","North Carolina","3,146","10,600,823","29.68","30.87","107,704"
"2020","North Dakota","114","765,309","14.90","15.20","4,621"
"2020","Ohio","5,204","11,693,217","44.50","47.33","173,059"
"2020","Oklahoma","762","3,980,783","19.14","19.45","22,672"
"2020","Oregon","803","4,241,507","18.93","18.65","25,039"
"2020","Pennsylvania","5,168","12,783,254","40.43","42.47","167,224"
"2020","Rhode Island","397","1,057,125","37.56","38.28","12,615"
"2020","South Carolina","1,739","5,218,040","33.33","34.91","56,443"
"2020","South Dakota","83","892,717","9.30","10.39","2,838"
"2020","Tennessee","3,034","6,886,834","44.06","45.85","99,803"
"2020","Texas","4,172","29,360,759","14.21","14.12","135,592"
"2020","Utah","622","3,249,879","19.14","20.67","19,732"
"2020","Vermont","190","623,347","30.48","32.99","6,133"
"2020","Virginia","2,240","8,590,563","26.08","26.53","74,752"
"2020","Washington","1,733","7,693,612","22.53","21.92","54,180"
"2020","West Virginia","1,330","1,784,787","74.52","82.01","42,800"
"2020","Wisconsin","1,531","5,832,655","26.25","27.75","50,221"
"2020","Wyoming","99","582,328","17.00","17.33","2,990"
"2019","Alabama","768","4,907,965","15.65","16.42","24,746"
"2019","Alaska","132","733,603","17.99","17.59","4,476"
