"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","PovertyRate","undefined"
"28","Mississippi",63.07084,2959473,2960075,2961279,2961879,2967297,-0.0002,-602,-0.00264,0.19072280774313535,564439
"22","Louisiana",108.67214,4695071,4682633,4657757,4645314,4533372,0.00266,12438,0.03567,0.18002496660859868,845230
"35","New Mexico",17.60148,2135024,2129190,2117522,2111685,2059179,0.00274,5834,0.03683,0.17846450438027864,381026
"54","West Virginia",73.88019,1775932,1781860,1793716,1799642,1852994,-0.00333,-5928,-0.04159,0.1690109756454639,300152
"21","Kentucky",115.37702,4555777,4539130,4505836,4489190,4339367,0.00367,16647,0.04987,0.15757904743801113,717895
"5","Arkansas",58.42619,3040207,3030646,3011524,3001967,2915918,0.00315,9561,0.04262,0.1546572322213586,470190
"1","Alabama",100.65438,5097641,5073187,5024279,4999822,4779736,0.00482,24454,0.06651,0.1496068475594888,762642
"40","Oklahoma",58.63041,4021753,4000953,3959353,3938551,3751351,0.0052,20800,0.07208,0.145588254674019,585520
"11","District of Columbia",11735.91803,715891,707109,689545,680761,601723,0.01242,8782,0.18974,0.14442282414501648,103391
"45","South Carolina",175.18855,5266343,5217037,5118425,5069118,4625364,0.00945,49306,0.13858,0.13794581932851696,726470
"47","Tennessee",171.70515,7080262,7023788,6910840,6854371,6346105,0.00804,56474,0.11569,0.1363244749982416,965213
"4","Arizona",64.96246,7379346,7303398,7151502,7075549,6392017,0.0104,75948,0.15446,0.13422978133834623,990528
"13","Georgia",191.5947,11019186,10916760,10711908,10609487,9687653,0.00938,102426,0.13745,0.13263883557279094,1461572
"26","Michigan",179.26454,10135438,10116069,10077331,10057961,9883640,0.00191,19369,0.02548,0.13193864932132188,1337256
"37","North Carolina",220.30026,10710558,10620168,10439388,10348993,9535483,0.00851,90390,0.12323,0.13182683852699364,1411939
"48","Texas",116.16298,30345487,29945493,29145505,28745507,25145561,0.01336,399994,0.20679,0.13129662410756499,3984260
"39","Ohio",290.70091,11878330,11852036,11799448,11773150,11536504,0.00222,26294,0.02963,0.13015390210576738,1546011
"36","New York",433.90472,20448194,20365879,20201249,20118937,19378102,0.00404,82315,0.05522,0.1262237633308839,2581048
"29","Missouri",90.26083,6204710,6188111,6154913,6138318,5988927,0.00268,16599,0.03603,0.1245814872894946,772992
"12","Florida",416.95573,22359251,22085563,21538187,21264502,18801310,0.01239,273688,0.18924,0.12401752634737183,2772939
"18","Indiana",191.92896,6876047,6845874,6785528,6755359,6483802,0.00441,30173,0.0605,0.1218940184672967,838149
"6","California",258.20877,40223504,39995077,39538223,39309799,37253956,0.00571,228427,0.07971,0.12066164101466645,4853434
"46","South Dakota",11.98261,908414,901165,886667,879421,814180,0.00804,7249,0.11574,0.1198385317707565,108863
"30","Montana",7.64479,1112668,1103187,1084225,1074744,989415,0.00859,9481,0.12457,0.11906157092681734,132476
"32","Nevada",29.38425,3225832,3185426,3104614,3064205,2700551,0.01268,40406,0.19451,0.11832451286985807,381695
"17","Illinois",230.67908,12807072,12808884,12812508,12814324,12830632,-0.00014,-1812,-0.00184,0.11623812218749141,1488670
"41","Oregon",45.41307,4359110,4318492,4237256,4196636,3831074,0.00941,40618,0.13783,0.11620674862529277,506558
"42","Pennsylvania",292.62222,13092796,13062764,13002700,12972667,12702379,0.0023,30032,0.03074,0.1130721046902434,1480430
"20","Kansas",36.24443,2963308,2954832,2937880,2929402,2853118,0.00287,8476,0.03862,0.1092171316650176,323644
"16","Idaho",23.23926,1920562,1893410,1839106,1811950,1567582,0.01434,27152,0.22517,0.10709157007167694,205676
"44","Rhode Island",1074.29594,1110822,1106341,1097379,1092896,1052567,0.00405,4481,0.05535,0.10603409007023627,117785
"10","Delaware",522.08876,1017551,1008350,989948,980743,897934,0.00912,9201,0.13321,0.10578437837513795,107641
"23","Maine",44.50148,1372559,1369159,1362359,1358961,1328361,0.00248,3400,0.03327,0.10519329223734644,144384
"56","Wyoming",5.98207,580817,579495,576851,575524,563626,0.00228,1322,0.0305,0.10503480442204688,61006
"19","Iowa",57.89018,3233572,3219171,3190369,3175964,3046355,0.00447,14401,0.06146,0.10486545529216607,339090
"55","Wisconsin",109.96966,5955737,5935064,5893718,5873043,5686986,0.00348,20673,0.04726,0.10426031236772208,620947
"2","Alaska",1.29738,740339,738023,733391,731075,710231,0.00314,2316,0.04239,0.10045263048414307,74369
"50","Vermont",70.33514,648279,646545,643077,641347,625741,0.00268,1734,0.03602,0.0998027084017838,64700
"31","Nebraska",26.06024,2002052,1988536,1961504,1947985,1826341,0.0068,13516,0.09621,0.09681067225027122,193820
"38","North Dakota",11.75409,811044,800394,779094,768441,672591,0.01331,10650,0.20585,0.09554475466189258,77491
"53","Washington",120.37292,7999503,7901429,7705281,7607206,6724540,0.01241,98074,0.1896,0.09388633268841827,751044
"9","Connecticut",746.69537,3615499,3612314,3605944,3602762,3574097,0.00088,3185,0.01158,0.0938061385164261,339156
"51","Virginia",223.36045,8820504,8757467,8631393,8568357,8001024,0.0072,63037,0.10242,0.09372571000477978,826708
"25","Massachusetts",919.82103,7174604,7126375,7029917,6981690,6547629,0.00677,48229,0.09576,0.09107875500863881,653454
"8","Colorado",57.86332,5997070,5922618,5773714,5699264,5029196,0.01257,74452,0.19245,0.0907496494121296,544232
"34","New Jersey",1283.40005,9438124,9388414,9288994,9239284,8791894,0.00529,49710,0.0735,0.08928723547179503,842704
"27","Minnesota",73.18202,5827265,5787008,5706494,5666238,5303925,0.00696,40257,0.09867,0.08772297123950945,511185
"15","Hawaii",231.00763,1483762,1474265,1455271,1445774,1360301,0.00644,9497,0.09076,0.08624765966509454,127971
"24","Maryland",648.84362,6298325,6257958,6177224,6136855,5773552,0.00645,40367,0.09089,0.08439593066410514,531553
"49","Utah",41.66892,3423935,3373162,3271616,3220842,2763885,0.01505,50773,0.23881,0.08275858040529391,283360
"33","New Hampshire",155.9083,1395847,1389741,1377529,1371424,1316470,0.00439,6106,0.0603,0.0697913166700935,97418
